"Plot Title: GL32_07"
"#","Date Time, GMT-05:00","H08 Temp., °C (LGR S/N: 574445)","H08 Temp., °C (LGR S/N: 574445)","H08 Temp., °C (LGR S/N: 574445)"
285,06/24/07 02:44:00 AM,30.18,-69.16,24.91
286,06/24/07 02:45:00 AM,30.18,-69.16,24.91
287,06/24/07 02:46:00 AM,30.00,-69.16,24.91
288,06/24/07 02:47:00 AM,30.00,-69.16,24.91
289,06/24/07 02:48:00 AM,30.18,-69.16,24.91
290,06/24/07 02:49:00 AM,30.18,-69.16,24.91
291,06/24/07 02:50:00 AM,30.18,-69.16,24.91
292,06/24/07 02:51:00 AM,30.18,-69.16,24.91
293,06/24/07 02:52:00 AM,30.00,-69.16,24.91
294,06/24/07 02:53:00 AM,30.00,-69.16,24.91
295,06/24/07 02:54:00 AM,30.18,-69.16,24.91
296,06/24/07 02:55:00 AM,30.18,-69.16,24.91
297,06/24/07 02:56:00 AM,30.18,-69.16,24.91
298,06/24/07 02:57:00 AM,30.18,-69.16,24.91
299,06/24/07 02:58:00 AM,30.18,-69.16,24.91
300,06/24/07 02:59:00 AM,30.18,-69.16,24.91
301,06/24/07 03:00:00 AM,30.00,-69.16,24.91
302,06/24/07 03:01:00 AM,30.00,-69.16,24.91
303,06/24/07 03:02:00 AM,30.00,-69.16,24.91
304,06/24/07 03:03:00 AM,30.00,-69.16,24.91
305,06/24/07 03:04:00 AM,30.00,-69.16,24.91
306,06/24/07 03:05:00 AM,30.00,-69.16,24.91
307,06/24/07 03:06:00 AM,30.00,-69.16,24.91
308,06/24/07 03:07:00 AM,30.00,-69.16,24.91
309,06/24/07 03:08:00 AM,30.00,-69.16,24.91
310,06/24/07 03:09:00 AM,30.00,-69.16,24.91
311,06/24/07 03:10:00 AM,30.00,-69.16,24.91
312,06/24/07 03:11:00 AM,30.00,-69.16,24.91
313,06/24/07 03:12:00 AM,30.00,-69.16,24.91
314,06/24/07 03:13:00 AM,30.00,-69.16,24.91
315,06/24/07 03:14:00 AM,30.00,-69.16,24.91
316,06/24/07 03:15:00 AM,30.00,-69.16,24.91
317,06/24/07 03:16:00 AM,30.00,-69.16,24.91
318,06/24/07 03:17:00 AM,30.00,-69.16,24.91
319,06/24/07 03:18:00 AM,30.00,-69.16,24.91
320,06/24/07 03:19:00 AM,30.00,-69.16,24.74
321,06/24/07 03:20:00 AM,30.00,-69.16,24.74
322,06/24/07 03:21:00 AM,30.18,-69.16,24.74
323,06/24/07 03:22:00 AM,30.18,-69.16,24.74
324,06/24/07 03:23:00 AM,30.18,-69.16,24.74
325,06/24/07 03:24:00 AM,30.18,-69.16,24.74
326,06/24/07 03:25:00 AM,30.18,-69.16,24.74
327,06/24/07 03:26:00 AM,30.18,-69.16,24.74
328,06/24/07 03:27:00 AM,30.00,-69.16,24.74
329,06/24/07 03:28:00 AM,30.00,-69.16,24.74
330,06/24/07 03:29:00 AM,30.00,-69.16,24.56
331,06/24/07 03:30:00 AM,29.81,-69.16,24.56
332,06/24/07 03:31:00 AM,29.81,-69.16,24.56
333,06/24/07 03:32:00 AM,29.81,-69.16,24.56
334,06/24/07 03:33:00 AM,29.81,-69.16,24.56
335,06/24/07 03:34:00 AM,29.81,-69.16,24.56
336,06/24/07 03:35:00 AM,29.81,-69.16,24.56
337,06/24/07 03:36:00 AM,29.81,-69.16,24.56
338,06/24/07 03:37:00 AM,29.81,-69.16,24.56
339,06/24/07 03:38:00 AM,29.62,-69.16,24.56
340,06/24/07 03:39:00 AM,29.62,-69.16,24.56
341,06/24/07 03:40:00 AM,29.62,-69.16,24.56
342,06/24/07 03:41:00 AM,29.62,-69.16,24.38
343,06/24/07 03:42:00 AM,29.62,-69.16,24.38
344,06/24/07 03:43:00 AM,29.62,-69.16,24.38
345,06/24/07 03:44:00 AM,29.62,-69.16,24.38
346,06/24/07 03:45:00 AM,29.62,-69.16,24.38
347,06/24/07 03:46:00 AM,29.62,-69.16,24.38
348,06/24/07 03:47:00 AM,29.62,-69.16,24.38
349,06/24/07 03:48:00 AM,29.62,-69.16,24.38
